symbol,divergence,atr_mult,rr,train_r,blind_r,total_r,blind_trades,status
BTCUSDT,REG_BULL,1.0,8,16.0,-10.0,6.0,10,FAIL_BLIND
ETHUSDT,HID_BULL,1.0,7,28.0,0.0,28.0,16,FAIL_BLIND
SOLUSDT,HID_BULL,2.0,9,30.0,1.0,31.0,9,PASS
XRPUSDT,HID_BULL,1.5,9,30.0,-2.0,28.0,12,FAIL_BLIND
ZECUSDT,REG_BULL,1.5,8,22.0,17.0,39.0,10,PASS
FARTCOINUSDT,REG_BULL,2.5,10,24.0,-3.0,21.0,3,FAIL_BLIND
DOGEUSDT,HID_BEAR,2.0,10,48.0,-2.0,46.0,13,FAIL_BLIND
1000PEPEUSDT,HID_BEAR,1.0,9,37.0,-10.0,27.0,20,FAIL_BLIND
WIFUSDT,HID_BULL,1.0,9,30.0,1.0,31.0,19,PASS
SUIUSDT,HID_BEAR,1.0,10,28.0,2.0,30.0,20,PASS
ADAUSDT,HID_BEAR,1.0,10,37.0,11.0,48.0,22,PASS
RIVERUSDT,REG_BEAR,0.5,3,10.0,-2.0,8.0,2,FAIL_BLIND
HYPEUSDT,HID_BULL,3.0,8,14.0,-7.0,7.0,7,FAIL_BLIND
PIPPINUSDT,HID_BULL,0.5,6,26.0,-3.0,23.0,24,FAIL_BLIND
BCHUSDT,REG_BULL,1.5,7,16.0,-11.0,5.0,11,FAIL_BLIND
LINKUSDT,REG_BULL,0.5,10,31.0,8.0,39.0,14,PASS
BNBUSDT,HID_BULL,0.5,10,39.0,14.0,53.0,30,PASS
XPLUSDT,HID_BEAR,1.0,10,15.0,-3.0,12.0,3,FAIL_BLIND
ENAUSDT,HID_BEAR,1.5,10,35.0,5.0,40.0,17,PASS
VIRTUALUSDT,REG_BEAR,1.0,7,42.0,-11.0,31.0,19,FAIL_BLIND
PUMPFUNUSDT,HID_BULL,1.0,8,34.0,6.0,40.0,3,PASS
XAUTUSDT,HID_BULL,0.5,10,42.0,19.0,61.0,36,PASS
AAVEUSDT,HID_BEAR,1.0,10,18.0,8.0,26.0,25,PASS
LTCUSDT,HID_BEAR,0.5,9,52.0,-14.0,38.0,24,FAIL_BLIND
TAOUSDT,HID_BEAR,0.5,8,66.0,-22.0,44.0,22,FAIL_BLIND
HBARUSDT,HID_BEAR,1.0,10,34.0,3.0,37.0,30,PASS
AVAXUSDT,HID_BULL,0.5,10,40.0,-17.0,23.0,17,FAIL_BLIND
1000BONKUSDT,HID_BEAR,1.0,9,48.0,-18.0,30.0,38,FAIL_BLIND
ASTERUSDT,REG_BEAR,1.5,7,11.0,1.0,12.0,7,PASS
PIEVERSEUSDT,NONE,0,0,0,0,0,0,FAIL_TRAIN
UNIUSDT,REG_BEAR,0.5,10,30.0,-5.0,25.0,16,FAIL_BLIND
CLOUSDT,HID_BEAR,0.5,3,17.0,10.0,27.0,6,PASS
NEARUSDT,HID_BEAR,0.5,3,15.0,6.0,21.0,30,PASS
GUNUSDT,REG_BEAR,0.5,10,46.0,2.0,48.0,9,PASS
BEATUSDT,HID_BULL,0.5,5,18.0,0,18.0,0,FAIL_BLIND
PENGUUSDT,REG_BULL,1.5,10,51.0,-5.0,46.0,5,FAIL_BLIND
WLFIUSDT,HID_BULL,0.5,10,6.0,-2.0,4.0,13,FAIL_BLIND
ONDOUSDT,REG_BULL,0.5,10,32.0,-1.0,31.0,12,FAIL_BLIND
MNTUSDT,HID_BEAR,0.5,10,51.0,2.0,53.0,20,PASS
TRUMPUSDT,HID_BULL,0.5,10,21.0,9.0,30.0,13,PASS
FLOWUSDT,HID_BULL,0.5,6,49.0,-3.0,46.0,17,FAIL_BLIND
MONUSDT,HID_BEAR,0.5,5,11.0,0,11.0,0,FAIL_BLIND
RENDERUSDT,HID_BEAR,0.5,3,33.0,9.0,42.0,31,PASS
BABYUSDT,REG_BEAR,1.0,8,22.0,5.0,27.0,13,PASS
CRVUSDT,REG_BULL,2.5,9,23.0,-9.0,14.0,9,FAIL_BLIND
FILUSDT,HID_BEAR,1.0,10,22.0,-10.0,12.0,21,FAIL_BLIND
XMRUSDT,REG_BULL,2.0,9,12.0,-1.0,11.0,11,FAIL_BLIND
TONUSDT,HID_BEAR,0.5,9,18.0,3.0,21.0,27,PASS
IPUSDT,HID_BULL,2.0,9,33.0,15.0,48.0,5,PASS
DOTUSDT,REG_BEAR,1.0,10,33.0,9.0,42.0,13,PASS
APTUSDT,REG_BEAR,0.5,5,20.0,-12.0,8.0,18,FAIL_BLIND
ANIMEUSDT,REG_BULL,0.5,9,22.0,9.0,31.0,11,PASS
ARBUSDT,REG_BEAR,2.5,7,28.0,12.0,40.0,4,PASS
MYXUSDT,HID_BEAR,0.5,10,17.0,-4.0,13.0,4,FAIL_BLIND
ATOMUSDT,HID_BEAR,0.5,8,24.0,-5.0,19.0,23,FAIL_BLIND
SHIB1000USDT,HID_BEAR,0.5,10,49.0,-2.0,47.0,24,FAIL_BLIND
TRXUSDT,HID_BEAR,0.5,8,30.0,1.0,31.0,26,PASS
XLMUSDT,HID_BEAR,2.5,8,27.0,4.0,31.0,14,PASS
JASMYUSDT,REG_BEAR,1.0,10,44.0,18.0,62.0,15,PASS
SEIUSDT,HID_BEAR,0.5,9,60.0,15.0,75.0,25,PASS
WLDUSDT,REG_BEAR,1.5,7,31.0,10.0,41.0,14,PASS
OPUSDT,HID_BEAR,0.5,7,54.0,6.0,60.0,18,PASS
ICPUSDT,HID_BEAR,1.0,4,16.0,-3.0,13.0,23,FAIL_BLIND
BROCCOLIUSDT,HID_BEAR,0.5,6,67.0,-10.0,57.0,24,FAIL_BLIND
XCNUSDT,HID_BEAR,1.0,7,27.0,8.0,35.0,32,PASS
GALAUSDT,REG_BEAR,0.5,10,26.0,7.0,33.0,15,PASS
STRKUSDT,HID_BEAR,1.0,9,35.0,8.0,43.0,22,PASS
POPCATUSDT,HID_BEAR,0.5,8,39.0,-12.0,27.0,21,FAIL_BLIND
ETCUSDT,REG_BULL,1.0,10,27.0,-5.0,22.0,5,FAIL_BLIND
CVCUSDT,HID_BEAR,0.5,10,21.0,-13.0,8.0,24,FAIL_BLIND
KAITOUSDT,HID_BULL,0.5,10,19.0,3.0,22.0,8,PASS
NIGHTUSDT,HID_BULL,2.0,10,6.0,-2.0,4.0,2,FAIL_BLIND
ZBTUSDT,HID_BEAR,1.0,10,12.0,6.0,18.0,5,PASS
INJUSDT,REG_BULL,0.5,10,44.0,-10.0,34.0,10,FAIL_BLIND
DYDXUSDT,HID_BEAR,1.0,10,35.0,-2.0,33.0,13,FAIL_BLIND
1000RATSUSDT,HID_BEAR,0.5,5,44.0,-1.0,43.0,13,FAIL_BLIND
TIAUSDT,HID_BEAR,1.5,9,26.0,18.0,44.0,22,PASS
POLUSDT,HID_BEAR,0.5,9,16.0,17.0,33.0,33,PASS
ICNTUSDT,HID_BEAR,1.0,8,20.0,-1.0,19.0,10,FAIL_BLIND
AIXBTUSDT,REG_BEAR,0.5,10,49.0,-7.0,42.0,18,FAIL_BLIND
MOODENGUSDT,REG_BULL,0.5,8,27.0,-6.0,21.0,6,FAIL_BLIND
LIGHTUSDT,REG_BEAR,0.5,6,8.0,-2.0,6.0,2,FAIL_BLIND
ZKUSDT,REG_BEAR,1.5,9,32.0,30.0,62.0,10,PASS
LYNUSDT,HID_BEAR,0.5,10,22.0,-4.0,18.0,4,FAIL_BLIND
USELESSUSDT,HID_BULL,0.5,2,8.0,4.0,12.0,5,PASS
SPXUSDT,HID_BEAR,0.5,8,42.0,-23.0,19.0,32,FAIL_BLIND
PAXGUSDT,HID_BULL,2.0,10,37.0,11.0,48.0,11,PASS
1000FLOKIUSDT,HID_BEAR,1.0,9,47.0,0.0,47.0,30,FAIL_BLIND
ZENUSDT,HID_BEAR,0.5,8,37.0,0.0,37.0,18,FAIL_BLIND
DASHUSDT,HID_BEAR,0.5,9,56.0,-6.0,50.0,16,FAIL_BLIND
KASUSDT,REG_BEAR,1.0,10,55.0,-2.0,53.0,13,FAIL_BLIND
LDOUSDT,HID_BEAR,0.5,8,24.0,-2.0,22.0,11,FAIL_BLIND
STXUSDT,REG_BEAR,1.5,9,43.0,2.0,45.0,18,PASS
JELLYJELLYUSDT,REG_BEAR,0.5,9,21.0,-13.0,8.0,13,FAIL_BLIND
UBUSDT,HID_BEAR,0.5,10,10.0,4.0,14.0,7,PASS
EIGENUSDT,HID_BEAR,1.0,10,23.0,0.0,23.0,22,FAIL_BLIND
4USDT,HID_BEAR,0.5,10,8.0,-14.0,-6.0,14,FAIL_BLIND
CCUSDT,HID_BEAR,0.5,9,13.0,0,13.0,0,FAIL_BLIND
SONICUSDT,HID_BEAR,0.5,8,38.0,-7.0,31.0,16,FAIL_BLIND
0GUSDT,REG_BEAR,2.0,10,15.0,-2.0,13.0,2,FAIL_BLIND
SANDUSDT,HID_BEAR,1.0,10,16.0,8.0,24.0,25,PASS
1000000MOGUSDT,REG_BEAR,0.5,10,30.0,-21.0,9.0,21,FAIL_BLIND
AEROUSDT,HID_BEAR,0.5,10,53.0,8.0,61.0,25,PASS
WETUSDT,NONE,0,0,0,0,0,0,FAIL_TRAIN
GIGGLEUSDT,REG_BEAR,0.5,6,2.0,-4.0,-2.0,4,FAIL_BLIND
SPKUSDT,HID_BULL,0.5,10,49.0,-9.0,40.0,9,FAIL_BLIND
PENDLEUSDT,REG_BEAR,0.5,3,15.0,8.0,23.0,8,PASS
RAVEUSDT,NONE,0,0,0,0,0,0,FAIL_TRAIN
TUSDT,HID_BEAR,1.5,8,31.0,5.0,36.0,13,PASS
ORDIUSDT,HID_BEAR,0.5,5,25.0,-1.0,24.0,25,FAIL_BLIND
PNUTUSDT,HID_BEAR,0.5,10,22.0,-29.0,-7.0,29,FAIL_BLIND
AVNTUSDT,HID_BEAR,1.0,7,27.0,2.0,29.0,6,PASS
BRETTUSDT,HID_BEAR,1.0,10,25.0,-4.0,21.0,26,FAIL_BLIND
LABUSDT,HID_BULL,1.0,10,5.0,-3.0,2.0,3,FAIL_BLIND
MERLUSDT,REG_BEAR,1.0,10,30.0,-7.0,23.0,7,FAIL_BLIND
ALGOUSDT,HID_BULL,1.0,8,22.0,-2.0,20.0,11,FAIL_BLIND
GMTUSDT,REG_BULL,0.5,10,25.0,-4.0,21.0,4,FAIL_BLIND
RECALLUSDT,HID_BEAR,1.0,10,12.0,9.0,21.0,2,FAIL_BLIND
SXPUSDT,HID_BEAR,0.5,7,44.0,13.0,57.0,19,PASS
STABLEUSDT,HID_BEAR,0.5,8,10.0,4.0,14.0,5,PASS
BOMEUSDT,HID_BEAR,0.5,10,50.0,-13.0,37.0,24,FAIL_BLIND
FOLKSUSDT,HID_BEAR,0.5,3,3.0,3,6.0,1,FAIL_BLIND
EVAAUSDT,HID_BEAR,2.0,4,13.0,3.0,16.0,2,FAIL_BLIND
JUPUSDT,REG_BULL,1.0,8,41.0,-7.0,34.0,7,FAIL_BLIND
CHZUSDT,HID_BEAR,1.0,10,35.0,-7.0,28.0,18,FAIL_BLIND
HUSDT,HID_BULL,0.5,4,12.0,-5.0,7.0,10,FAIL_BLIND
CROUSDT,HID_BEAR,1.0,10,40.0,16.0,56.0,28,PASS
JTOUSDT,HID_BEAR,0.5,7,46.0,-16.0,30.0,32,FAIL_BLIND
1000TURBOUSDT,HID_BEAR,0.5,6,30.0,13.0,43.0,36,PASS
ENSOUSDT,HID_BEAR,1.0,7,1.0,-4.0,-3.0,4,FAIL_BLIND
GLMUSDT,HID_BEAR,1.5,7,51.0,-7.0,44.0,15,FAIL_BLIND
AKEUSDT,HID_BEAR,1.0,6,26.0,-4.0,22.0,4,FAIL_BLIND
MAGICUSDT,REG_BEAR,1.5,10,38.0,-4.0,34.0,15,FAIL_BLIND
TAUSDT,HID_BEAR,1.0,10,18.0,13.0,31.0,9,PASS
ETHFIUSDT,REG_BEAR,0.5,10,39.0,-10.0,29.0,21,FAIL_BLIND
LINEAUSDT,REG_BEAR,0.5,10,23.0,7.0,30.0,4,PASS
1000NEIROCTOUSDT,HID_BULL,0.5,7,32.0,-18.0,14.0,18,FAIL_BLIND
ENSUSDT,HID_BULL,1.5,2,22.0,3.0,25.0,15,PASS
PYTHUSDT,REG_BEAR,1.0,10,45.0,23.0,68.0,10,PASS
BIGTIMEUSDT,HID_BEAR,0.5,8,27.0,-29.0,-2.0,38,FAIL_BLIND
CYSUSDT,NONE,0,0,0,0,0,0,FAIL_TRAIN
APEUSDT,HID_BEAR,0.5,6,16.0,22.0,38.0,27,PASS
CELOUSDT,REG_BULL,0.5,10,25.0,-2.0,23.0,2,FAIL_BLIND
