max_wait,rr,sl_mult,trades,wr,total_r,avg_r
1,2.0,2.0,118,30.508474576271187,-26.136369260384015,-0.22149465474901708
6,1.5,2.0,1508,35.47745358090186,-384.4750070385173,-0.2549569012191759
10,1.5,2.0,2681,35.285341290563224,-695.9141014873956,-0.2595725854111882
10,1.0,2.0,2681,44.01342782543827,-700.9141014873953,-0.2614375611665033
6,1.0,2.0,1508,43.832891246684355,-399.9750070385174,-0.2652354158080354
1,1.5,2.0,118,34.74576271186441,-31.636369260384008,-0.26810482424054244
9,1.0,2.0,2418,43.54838709677419,-657.2403348587998,-0.27181155287791553
8,1.5,2.0,2128,34.72744360902256,-584.3612855613251,-0.27460586727505876
9,1.5,2.0,2418,34.65674110835401,-668.2403348587998,-0.2763607671045491
8,1.0,2.0,2128,43.233082706766915,-591.8612855613248,-0.2781303033652842
7,1.5,2.0,1820,34.505494505494504,-508.9359830493323,-0.27963515552161117
5,1.5,2.0,1206,34.49419568822554,-338.1961990764532,-0.2804280257682033
5,1.0,2.0,1206,42.95190713101161,-342.1961990764532,-0.2837447753536096
10,2.0,2.0,2681,28.496829541215963,-765.5554026043072,-0.28554845304151705
7,1.0,2.0,1820,42.8021978021978,-520.9359830493324,-0.28622856211501785
10,2.5,2.0,2681,24.319283849309958,-771.3232872894733,-0.28769984606097476
1,3.0,2.0,118,21.1864406779661,-34.13636926038401,-0.28929126491850854
1,4.0,2.0,118,16.94915254237288,-34.13636926038401,-0.28929126491850854
6,2.0,2.0,1508,28.249336870026525,-442.2974491005111,-0.29330069568999406
6,3.0,2.0,1508,21.021220159151195,-448.88644823940984,-0.29767005851419753
3,1.0,2.0,598,42.14046822742475,-178.06540676866223,-0.2977682387435823
10,3.0,2.0,2681,20.962327489742634,-801.0722534806717,-0.29879606619942994
6,2.5,2.0,1508,23.93899204244032,-455.13919428201865,-0.30181644183157735
8,2.0,2.0,2128,27.960526315789476,-645.1837276233182,-0.30318784192825105
9,2.0,2.0,2418,27.915632754342433,-735.7090495417926,-0.30426346134896304
1,5.0,2.0,118,13.559322033898304,-36.35629568513265,-0.30810420072146316
9,2.5,2.0,2418,23.738626964433415,-748.3132669942099,-0.3094761236535194
4,1.0,2.0,899,41.601779755283644,-278.29214262900854,-0.30955744452614964
8,2.5,2.0,2128,23.731203007518797,-660.1033239262546,-0.310198930416473
5,2.0,2.0,1206,27.69485903814262,-374.5186411384465,-0.31054613693071853
2,1.5,2.0,327,33.33333333333333,-102.10972191466453,-0.3122621465280261
6,2.0,1.5,1520,29.210526315789476,-474.8313096450012,-0.3123890195032903
8,3.0,2.0,2128,20.6296992481203,-669.0100741037496,-0.3143844333194312
9,3.0,2.0,2418,20.55417700578991,-765.8859501155002,-0.3167435691131101
6,1.5,1.5,1520,34.868421052631575,-481.83130964500134,-0.31699428266118507
10,2.0,1.5,2702,29.05255366395263,-857.8090432006895,-0.31747188867531073
7,2.0,2.0,1820,27.41758241758242,-580.2584251113259,-0.3188233105007285
10,1.0,1.5,2702,43.486306439674316,-862.8090432006898,-0.3193223698004033
6,4.0,2.0,1508,16.312997347480106,-481.82010050281383,-0.31950935046605694
10,4.0,2.0,2681,16.187989556135772,-858.1566777197519,-0.3200882796418321
4,1.5,2.0,899,32.81423804226919,-288.79214262900837,-0.32123708857509276
5,2.5,2.0,1206,23.383084577114428,-387.8603863199542,-0.32160894388055905
7,3.0,2.0,1820,20.439560439560438,-585.8468942744553,-0.3218938979529974
5,5.0,2.0,1206,13.515754560530679,-389.4157885282362,-0.32289866378792387
6,1.0,1.5,1520,43.28947368421053,-490.83130964500145,-0.3229153352927641
1,1.0,2.0,118,40.67796610169492,-38.136369260384015,-0.3231895700032544
10,1.5,1.5,2702,34.6039970392302,-875.3090432006896,-0.3239485726131346
5,3.0,2.0,1206,20.398009950248756,-390.86038631995433,-0.3240965060696139
10,5.0,2.0,2681,13.353226408056695,-872.9368430360462,-0.32560120963671996
2,1.0,2.0,327,40.97859327217125,-106.60972191466453,-0.32602361441793437
7,2.5,2.0,1820,23.24175824175824,-595.1001702928331,-0.3269781155455127
5,4.0,2.0,1206,16.169154228855724,-396.43220351907104,-0.32871658666589637
8,4.0,2.0,2128,16.11842105263158,-701.5021272090536,-0.3296532552674124
9,1.0,1.5,2438,42.986054142739945,-805.2150640309625,-0.3302768925475646
10,3.0,1.5,2702,21.39156180606958,-896.4771063082654,-0.33178279286020185
3,1.5,2.0,598,32.274247491638796,-199.56540676866211,-0.3337214160011072
7,4.0,2.0,1820,16.043956043956044,-608.7805465378595,-0.3344948057900327
1,2.5,2.0,118,22.88135593220339,-39.636369260384015,-0.335901434410034
10,4.0,1.5,2702,16.95040710584752,-909.993348349608,-0.3367851030161392
10,2.5,1.5,2702,24.315321983715766,-910.7760431126593,-0.3370747753932862
9,2.0,1.5,2438,28.424938474159145,-822.2150640309621,-0.33724982117758906
8,2.0,1.5,2143,28.418105459636024,-723.9336615683278,-0.33781318785269615
9,1.5,1.5,2438,34.08531583264971,-823.7150640309621,-0.33786507958612066
2,2.0,2.0,327,26.911314984709477,-110.60972191466453,-0.338256030320075
7,1.0,1.5,1833,42.5531914893617,-620.9903366209894,-0.33878359881123266
5,1.5,1.5,1218,33.99014778325123,-412.83800775361806,-0.338947461209867
8,1.0,1.5,2143,42.55716285580961,-726.9336615683279,-0.3392130945255847
6,5.0,2.0,1508,13.196286472148541,-512.0884772896022,-0.3395812183618052
8,5.0,2.0,2128,13.204887218045114,-723.2822925253481,-0.3398882953596561
9,4.0,2.0,2418,15.839536807278742,-823.3157715354217,-0.3404945291709767
8,1.5,1.5,2143,33.97106859542697,-730.9336615683277,-0.34107963675610253
7,2.0,1.5,1833,28.205128205128204,-629.9903366209895,-0.34369358244462056
5,2.0,1.5,1218,28.160919540229884,-418.83800775361806,-0.3438735695842513
6,2.5,1.5,1520,24.07894736842105,-525.0064974837471,-0.3453990115024652
1,3.0,1.5,120,20.833333333333336,-41.55473323645963,-0.34628944363716363
5,1.0,1.5,1218,41.95402298850575,-425.83800775361806,-0.3496206960210329
4,2.0,2.0,899,26.362625139043384,-314.4331938119424,-0.34975883627579796
9,3.0,1.5,2438,20.91878589007383,-856.8943358466036,-0.3514742969018062
8,3.0,1.5,2143,20.951936537564162,-753.2679401947593,-0.3515016053171998
7,5.0,2.0,1820,13.021978021978024,-640.4403896191086,-0.3518903239665432
2,2.5,1.5,329,24.012158054711247,-116.01920344216703,-0.35264195575126756
6,2.5,1.2,1524,25.196850393700785,-538.621286987905,-0.35342604133064637
4,4.0,2.0,899,15.684093437152391,-317.8471142987372,-0.3535563006660036
7,1.5,1.5,1833,33.44244408074195,-648.4903366209888,-0.35378632657991754
10,5.0,1.5,2702,13.76757957068838,-956.3261435582152,-0.35393269561740015
9,5.0,2.0,2418,12.903225806451612,-859.0959368517165,-0.3552919507244485
6,3.0,1.5,1520,20.789473684210527,-541.165588271433,-0.35602999228383747
8,2.5,1.5,2143,23.79841343910406,-765.1088494070736,-0.35702699459032833
2,1.5,1.5,329,33.43465045592705,-117.51920344216703,-0.3572012262679849
9,4.0,1.5,2438,16.52994257588187,-875.9159868644454,-0.35927645072372655
9,2.5,1.5,2438,23.707957342083674,-876.5186153643727,-0.3595236322249273
1,2.5,1.5,120,23.333333333333332,-43.55473323645965,-0.3629561103038304
6,4.0,1.5,1520,16.447368421052634,-551.7056293103927,-0.3629642298094689
2,2.0,1.5,329,27.659574468085108,-119.519203442167,-0.3632802536236079
8,4.0,1.5,2143,16.425571628558096,-783.1721487827788,-0.36545597236713895
4,2.5,2.0,899,22.024471635150167,-331.60562090268616,-0.3688605349306854
4,3.0,2.0,899,19.243604004449388,-332.60562090268616,-0.3699728819829657
3,2.0,2.0,598,25.585284280936456,-222.20645795159624,-0.371582705604676
7,2.5,1.5,1833,23.349699945444627,-682.1655244597345,-0.3721579511509735
7,3.0,1.5,1833,20.403709765411893,-683.3246152474206,-0.37279029746176795
6,2.0,1.2,1524,28.74015748031496,-568.6212869879057,-0.3731110807007255
4,1.5,1.5,907,32.52480705622933,-339.38813701248694,-0.3741875821526868
2,4.0,2.0,327,15.29051987767584,-122.88692108831864,-0.3758009819214637
4,1.0,1.5,907,40.57331863285557,-340.88813701248694,-0.37584138590130867
9,5.0,1.5,2438,13.412633305988514,-920.0341231282716,-0.37737248692710074
5,2.5,1.5,1218,23.15270935960591,-460.0131955923638,-0.37767914252246615
8,5.0,1.5,2143,13.43910405972935,-810.7976250989868,-0.378347001912733
2,5.0,2.0,327,12.538226299694188,-123.8677917216217,-0.3788005863046535
6,1.5,1.2,1524,34.25196850393701,-577.6212869879057,-0.37901659251174913
4,5.0,2.0,899,12.569521690767518,-340.8295589285723,-0.3791207552041961
7,4.0,1.5,1833,16.148390616475723,-695.8639496520213,-0.37963117820623093
10,2.5,1.2,2711,24.45592032460347,-1029.196128758031,-0.37963708179934746
6,3.0,1.2,1524,21.325459317585302,-582.6212869879056,-0.38229743240676217
3,1.5,1.5,604,32.11920529801324,-231.21129524704605,-0.38280015769378484
3,1.0,1.5,604,40.06622516556291,-232.21129524704605,-0.3844557868328577
2,3.0,2.0,327,18.960244648318042,-125.78214900540806,-0.3846548899247953
7,2.5,1.2,1838,24.319912948857453,-708.5900181749256,-0.38552231674370274
10,2.0,1.2,2711,28.255256362965696,-1051.6961287580311,-0.387936602271498
8,2.5,1.2,2152,24.25650557620818,-835.099466625753,-0.3880573729673574
6,1.0,1.2,1524,42.322834645669296,-592.6212869879058,-0.3888591121967886
10,5.0,1.2,2711,14.053854666174843,-1054.8524711023622,-0.3891008746227821
5,3.0,1.5,1218,19.950738916256157,-474.1722863800496,-0.3893040118062805
10,1.5,1.2,2711,33.82515676872003,-1057.1961287580307,-0.389965373942468
2,1.0,1.5,329,40.121580547112465,-128.519203442167,-0.39063587672391187
9,2.5,1.2,2448,24.101307189542485,-962.2253648904773,-0.3930659170304237
10,1.0,1.2,2711,42.124677240870525,-1065.6961287580307,-0.39310074834305814
2,2.5,2.0,327,21.406727828746178,-128.78214900540806,-0.3938292018514008
6,5.0,1.5,1520,13.157894736842104,-599.1397386596925,-0.3941708806971661
6,5.0,1.2,1524,13.976377952755906,-601.9207554014635,-0.3949611255915115
7,1.0,1.2,1838,42.05658324265506,-727.0900181749257,-0.39558760510061247
5,2.5,1.2,1222,23.97708674304419,-483.8796596236764,-0.39597353488025894
9,1.0,1.2,2448,41.993464052287585,-971.2253648904766,-0.39674238761865877
5,5.0,1.5,1218,13.136288998357964,-483.67656384561064,-0.3971071952755424
9,1.5,1.2,2448,33.57843137254902,-972.2253648904773,-0.3971508843506852
5,4.0,1.5,1218,15.763546798029557,-484.5159888091546,-0.3977963783326392
8,1.0,1.2,2152,41.91449814126394,-858.0994666257532,-0.39874510530936486
10,3.0,1.2,2711,20.914791589819252,-1081.6961287580307,-0.3990026295676985
7,5.0,1.5,1833,13.093289689034371,-733.2980590013207,-0.4000534964546212
4,2.0,1.5,907,26.240352811466373,-362.88813701248694,-0.4000971742144288
3,2.5,2.0,598,21.070234113712374,-239.3788850423398,-0.4002991388667889
8,1.5,1.2,2152,33.457249070631974,-862.0994666257529,-0.4006038413688443
7,1.5,1.2,1838,33.405875952121875,-738.0900181749257,-0.40157237115066685
6,3.0,1.0,1527,22.00392927308448,-613.4050950999037,-0.4017060216764268
3,3.0,2.0,598,18.394648829431436,-240.37888504233973,-0.40197137966946445
8,2.0,1.2,2152,27.83457249070632,-865.0994666257533,-0.4019978934134541
9,2.0,1.2,2448,27.818627450980394,-984.2253648904773,-0.4020528451349989
1,2.0,1.5,120,25.833333333333336,-48.55473323645963,-0.4046227769704969
7,2.0,1.2,1838,27.63873775843308,-749.090018174926,-0.4075571372007214
5,2.0,1.2,1222,27.577741407528645,-498.3796596236765,-0.4078393286609464
5,1.5,1.2,1222,33.06055646481178,-499.3796596236765,-0.40865765926651104
8,5.0,1.2,2152,13.754646840148698,-881.5278472751987,-0.4096318992914492
10,4.0,1.2,2711,16.48838067133899,-1111.124039456181,-0.4098576316695614
8,3.0,1.2,2152,20.67843866171004,-882.099466625753,-0.4098975216662421
4,2.5,1.5,907,22.160970231532527,-373.38813701248694,-0.41167380045478164
9,5.0,1.2,2448,13.684640522875819,-1010.0817900637123,-0.4126151103201439
1,1.0,1.5,120,38.333333333333336,-49.55473323645963,-0.4129561103038303
7,3.0,1.2,1838,20.5658324265506,-761.090018174926,-0.41408597289168986
2,3.0,1.5,329,19.45288753799392,-136.519203442167,-0.4149519861464043
6,2.5,1.0,1527,24.75442043222004,-634.4050950999043,-0.415458477472105
3,4.0,2.0,598,14.381270903010032,-248.62037843839107,-0.41575314120132284
9,3.0,1.2,2448,20.50653594771242,-1019.2253648904773,-0.41635023075591393
3,2.0,1.5,604,25.496688741721858,-254.21129524704608,-0.4208796278924604
6,4.0,1.2,1524,16.27296587926509,-641.7753321391453,-0.4211124226634812
5,1.0,1.2,1222,40.67103109656301,-515.3796596236764,-0.4217509489555453
7,5.0,1.2,1838,13.547334058759523,-776.3886032955348,-0.42240946860475237
9,4.0,1.2,2448,16.176470588235293,-1043.6606515282285,-0.4263319654935574
5,3.0,1.2,1222,20.212765957446805,-521.3796596236764,-0.42666093258893323
3,2.5,1.5,604,21.688741721854303,-257.71129524704605,-0.42667432987921533
8,4.0,1.2,2152,16.171003717472118,-920.2499303127066,-0.4276254323014436
4,3.0,1.5,907,18.963616317530317,-388.88813701248716,-0.42876310585720745
1,5.0,1.5,120,12.5,-51.55473323645963,-0.42962277697049694
1,4.0,1.5,120,15.0,-51.55473323645963,-0.42962277697049694
6,2.0,1.0,1527,28.356254092992796,-658.4050950999042,-0.4311755698100224
2,2.5,1.2,330,23.03030303030303,-143.4196842135739,-0.43460510367749666
6,1.5,1.0,1527,33.85723641126391,-664.9050950999047,-0.4354322823182087
7,3.0,1.0,1841,21.18413905486149,-803.1690267534798,-0.43626780377701235
10,2.5,1.0,2716,24.153166421207658,-1186.533613860665,-0.436868046340451
3,5.0,2.0,598,11.538461538461538,-261.60124907169427,-0.4374602827285857
4,5.0,1.5,907,12.458654906284455,-397.2318394415921,-0.4379623367603
5,5.0,1.2,1222,13.2569558101473,-536.5337047749161,-0.4390619515343013
10,2.0,1.0,2716,28.09278350515464,-1193.5336138606651,-0.4394453659280799
10,3.0,1.0,2716,21.06038291605302,-1194.533613860665,-0.4398135544405983
2,2.0,1.2,330,26.666666666666668,-145.41968421357384,-0.44066570973810254
2,3.0,1.2,330,20.0,-145.4196842135739,-0.4406657097381027
8,3.0,1.0,2155,21.06728538283063,-951.1803648944727,-0.4413829999510314
5,3.0,1.0,1224,20.996732026143793,-540.894433393556,-0.44190721682480066
2,1.5,1.2,330,31.818181818181817,-146.91968421357393,-0.44521116428355734
8,2.5,1.0,2155,23.94431554524362,-961.180364894473,-0.44602337118072993
4,4.0,1.5,907,14.773980154355016,-405.23183944159223,-0.44678262341961655
5,2.5,1.0,1224,23.856209150326798,-546.894433393556,-0.4468091776091144
7,4.0,1.2,1838,15.778019586507073,-822.2440633261645,-0.447358032277565
10,4.0,1.0,2716,16.678939617083945,-1216.6261591026623,-0.447947775810995
9,2.0,1.0,2453,27.84345699143905,-1099.1683612776897,-0.4480914640349326
9,3.0,1.0,2453,20.872401141459438,-1100.1683612776897,-0.4484991281197267
7,2.5,1.0,1841,23.845736013036394,-826.6690267534798,-0.44903260551519814
3,3.0,1.5,604,18.37748344370861,-272.2112952470461,-0.4506809523957717
9,2.5,1.0,2453,23.766816143497756,-1107.6683612776897,-0.4515566087556827
10,1.5,1.0,2716,33.17378497790869,-1230.0336138606654,-0.452884246635002
8,2.0,1.0,2155,27.656612529002324,-979.1803648944727,-0.4543760393941869
4,1.0,1.2,910,38.901098901098905,-414.42129456158733,-0.4554080160017443
3,1.0,1.2,606,38.778877887788774,-276.30530286480035,-0.4559493446613867
6,4.0,1.0,1527,16.50294695481336,-697.4050950999042,-0.4567158448591383
7,1.5,1.0,1841,33.02552960347637,-843.16902675348,-0.45799512588456276
8,4.0,1.0,2155,16.51972157772622,-987.1803648944727,-0.4580883363779456
5,2.0,1.0,1224,27.450980392156865,-560.8944333935565,-0.4582470861058468
3,1.5,1.2,606,30.85808580858086,-278.80530286480047,-0.460074757202641
6,1.0,1.0,1527,41.06090373280943,-703.4050950999042,-0.4606451179436177
6,5.0,1.0,1527,13.686967910936476,-703.4050950999049,-0.4606451179436181
7,2.0,1.0,1841,27.430744160782183,-848.16902675348,-0.46071104114800654
