symbol,div,rr,atr_mult,trades,wr,total_r,sharpe,max_dd_pct,mc_pct,train1,train2,oos
IPUSDT,HID_BULL,3.0,2.5,37,48.6,34.46,2.85,21.0,100.0,"{'trades': 18, 'wins': 9, 'wr': 50.0, 'total_r': 17.44}","{'trades': 12, 'wins': 7, 'wr': 58.3, 'total_r': 15.71}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 1.32}"
IPUSDT,HID_BULL,4.0,2.0,37,40.5,36.71,2.45,19.9,100.0,"{'trades': 18, 'wins': 7, 'wr': 38.9, 'total_r': 16.3}","{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 17.64}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 2.77}"
IPUSDT,HID_BULL,4.0,2.5,37,40.5,38.46,2.61,18.8,100.0,"{'trades': 18, 'wins': 6, 'wr': 33.3, 'total_r': 12.44}","{'trades': 12, 'wins': 7, 'wr': 58.3, 'total_r': 22.71}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 3.32}"
IPUSDT,HID_BULL,5.0,2.0,37,35.1,40.71,2.35,18.0,100.0,"{'trades': 18, 'wins': 5, 'wr': 27.8, 'total_r': 12.3}","{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 23.64}","{'trades': 7, 'wins': 2, 'wr': 28.6, 'total_r': 4.77}"
JUPUSDT,REG_BEAR,6.0,1.0,42,28.6,38.31,1.87,28.6,100.0,"{'trades': 14, 'wins': 4, 'wr': 28.6, 'total_r': 12.76}","{'trades': 12, 'wins': 3, 'wr': 25.0, 'total_r': 8.06}","{'trades': 16, 'wins': 5, 'wr': 31.2, 'total_r': 17.5}"
JUPUSDT,REG_BEAR,7.0,1.0,42,28.6,50.31,2.15,21.8,100.0,"{'trades': 14, 'wins': 4, 'wr': 28.6, 'total_r': 16.75}","{'trades': 12, 'wins': 3, 'wr': 25.0, 'total_r': 11.06}","{'trades': 16, 'wins': 5, 'wr': 31.2, 'total_r': 22.5}"
JUPUSDT,REG_BEAR,8.0,1.0,42,28.6,62.31,2.36,17.6,100.0,"{'trades': 14, 'wins': 4, 'wr': 28.6, 'total_r': 20.76}","{'trades': 12, 'wins': 3, 'wr': 25.0, 'total_r': 14.06}","{'trades': 16, 'wins': 5, 'wr': 31.2, 'total_r': 27.5}"
MOVEUSDT,REG_BEAR,3.0,0.8,43,46.5,32.48,2.48,13.6,100.0,"{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 10.37}","{'trades': 18, 'wins': 8, 'wr': 44.4, 'total_r': 12.22}","{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 9.88}"
MOVEUSDT,REG_BEAR,3.0,1.0,43,46.5,33.38,2.55,16.0,100.0,"{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 10.7}","{'trades': 18, 'wins': 9, 'wr': 50.0, 'total_r': 16.58}","{'trades': 13, 'wins': 5, 'wr': 38.5, 'total_r': 6.1}"
MOVEUSDT,REG_BEAR,3.0,1.5,43,44.2,33.09,2.6,22.1,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 8.13}","{'trades': 18, 'wins': 9, 'wr': 50.0, 'total_r': 18.55}","{'trades': 13, 'wins': 5, 'wr': 38.5, 'total_r': 6.41}"
MOVEUSDT,REG_BEAR,3.0,2.0,43,39.5,27.69,2.25,24.3,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 8.35}","{'trades': 18, 'wins': 7, 'wr': 38.9, 'total_r': 12.29}","{'trades': 13, 'wins': 5, 'wr': 38.5, 'total_r': 7.05}"
MOVEUSDT,REG_BEAR,4.0,0.8,43,44.2,47.48,2.91,11.4,100.0,"{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 16.37}","{'trades': 18, 'wins': 8, 'wr': 44.4, 'total_r': 20.22}","{'trades': 13, 'wins': 5, 'wr': 38.5, 'total_r': 10.88}"
MOVEUSDT,REG_BEAR,4.0,1.0,43,41.9,43.38,2.68,12.3,100.0,"{'trades': 12, 'wins': 6, 'wr': 50.0, 'total_r': 16.7}","{'trades': 18, 'wins': 7, 'wr': 38.9, 'total_r': 15.58}","{'trades': 13, 'wins': 5, 'wr': 38.5, 'total_r': 11.1}"
MOVEUSDT,REG_BEAR,4.0,1.5,43,39.5,42.59,2.72,17.1,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 13.13}","{'trades': 18, 'wins': 7, 'wr': 38.9, 'total_r': 18.05}","{'trades': 13, 'wins': 5, 'wr': 38.5, 'total_r': 11.4}"
MOVEUSDT,REG_BEAR,4.0,2.0,43,30.2,26.19,1.8,26.1,100.0,"{'trades': 12, 'wins': 4, 'wr': 33.3, 'total_r': 8.85}","{'trades': 18, 'wins': 5, 'wr': 27.8, 'total_r': 10.29}","{'trades': 13, 'wins': 4, 'wr': 30.8, 'total_r': 7.05}"
MOVEUSDT,REG_BEAR,5.0,0.8,43,37.2,48.48,2.55,13.7,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 16.37}","{'trades': 18, 'wins': 7, 'wr': 38.9, 'total_r': 22.22}","{'trades': 13, 'wins': 4, 'wr': 30.8, 'total_r': 9.88}"
MOVEUSDT,REG_BEAR,5.0,1.0,43,32.6,38.38,2.09,19.4,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 17.2}","{'trades': 18, 'wins': 5, 'wr': 27.8, 'total_r': 11.08}","{'trades': 13, 'wins': 4, 'wr': 30.8, 'total_r': 10.1}"
MOVEUSDT,REG_BEAR,5.0,1.5,43,30.2,37.09,2.1,19.7,100.0,"{'trades': 12, 'wins': 4, 'wr': 33.3, 'total_r': 12.63}","{'trades': 18, 'wins': 5, 'wr': 27.8, 'total_r': 14.05}","{'trades': 13, 'wins': 4, 'wr': 30.8, 'total_r': 10.4}"
MOVEUSDT,REG_BEAR,6.0,0.8,43,30.2,44.48,2.12,19.9,100.0,"{'trades': 12, 'wins': 4, 'wr': 33.3, 'total_r': 14.87}","{'trades': 18, 'wins': 6, 'wr': 33.3, 'total_r': 22.72}","{'trades': 13, 'wins': 3, 'wr': 23.1, 'total_r': 6.88}"
MOVEUSDT,REG_BEAR,7.0,0.8,43,27.9,49.48,2.11,15.9,100.0,"{'trades': 12, 'wins': 4, 'wr': 33.3, 'total_r': 18.87}","{'trades': 18, 'wins': 5, 'wr': 27.8, 'total_r': 20.72}","{'trades': 13, 'wins': 3, 'wr': 23.1, 'total_r': 9.88}"
NOTUSDT,HID_BEAR,4.0,1.5,50,34.0,34.46,2.08,21.3,100.0,"{'trades': 16, 'wins': 6, 'wr': 37.5, 'total_r': 13.19}","{'trades': 15, 'wins': 4, 'wr': 26.7, 'total_r': 5.69}","{'trades': 19, 'wins': 7, 'wr': 36.8, 'total_r': 15.58}"
NOTUSDT,HID_BEAR,5.0,1.5,50,30.0,39.96,2.08,21.0,100.0,"{'trades': 16, 'wins': 5, 'wr': 31.2, 'total_r': 13.19}","{'trades': 15, 'wins': 4, 'wr': 26.7, 'total_r': 9.69}","{'trades': 19, 'wins': 6, 'wr': 31.6, 'total_r': 17.08}"
NOTUSDT,HID_BEAR,6.0,1.5,50,26.0,41.96,1.96,24.5,100.0,"{'trades': 16, 'wins': 4, 'wr': 25.0, 'total_r': 11.69}","{'trades': 15, 'wins': 4, 'wr': 26.7, 'total_r': 13.69}","{'trades': 19, 'wins': 5, 'wr': 26.3, 'total_r': 16.58}"
PENGUUSDT,REG_BULL,3.0,0.8,37,51.4,36.36,3.0,14.4,100.0,"{'trades': 19, 'wins': 6, 'wr': 31.6, 'total_r': 3.9}","{'trades': 13, 'wins': 11, 'wr': 84.6, 'total_r': 29.84}","{'trades': 5, 'wins': 2, 'wr': 40.0, 'total_r': 2.62}"
PENGUUSDT,REG_BULL,3.0,1.0,37,54.1,40.89,3.38,12.7,100.0,"{'trades': 19, 'wins': 7, 'wr': 36.8, 'total_r': 8.12}","{'trades': 13, 'wins': 11, 'wr': 84.6, 'total_r': 30.07}","{'trades': 5, 'wins': 2, 'wr': 40.0, 'total_r': 2.69}"
PENGUUSDT,REG_BULL,4.0,0.8,37,48.6,50.36,3.32,10.4,100.0,"{'trades': 19, 'wins': 6, 'wr': 31.6, 'total_r': 9.9}","{'trades': 13, 'wins': 10, 'wr': 76.9, 'total_r': 35.84}","{'trades': 5, 'wins': 2, 'wr': 40.0, 'total_r': 4.62}"
PENGUUSDT,REG_BULL,5.0,0.8,37,37.8,44.36,2.51,18.9,100.0,"{'trades': 19, 'wins': 5, 'wr': 26.3, 'total_r': 9.91}","{'trades': 13, 'wins': 8, 'wr': 61.5, 'total_r': 33.84}","{'trades': 5, 'wins': 1, 'wr': 20.0, 'total_r': 0.62}"
PNUTUSDT,HID_BULL,4.0,1.5,35,37.1,28.34,1.99,29.7,100.0,"{'trades': 16, 'wins': 4, 'wr': 25.0, 'total_r': 3.45}","{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 12.19}","{'trades': 7, 'wins': 4, 'wr': 57.1, 'total_r': 12.7}"
PROVEUSDT,HID_BEAR,3.0,2.0,65,40.0,36.0,2.28,25.8,100.0,"{'trades': 26, 'wins': 10, 'wr': 38.5, 'total_r': 12.76}","{'trades': 15, 'wins': 7, 'wr': 46.7, 'total_r': 12.54}","{'trades': 24, 'wins': 9, 'wr': 37.5, 'total_r': 10.7}"
PROVEUSDT,HID_BEAR,3.0,2.5,65,47.7,57.1,3.57,16.2,100.0,"{'trades': 26, 'wins': 11, 'wr': 42.3, 'total_r': 17.01}","{'trades': 15, 'wins': 8, 'wr': 53.3, 'total_r': 16.63}","{'trades': 24, 'wins': 12, 'wr': 50.0, 'total_r': 23.46}"
PROVEUSDT,HID_BEAR,4.0,2.0,65,38.5,56.99,2.91,16.3,100.0,"{'trades': 26, 'wins': 10, 'wr': 38.5, 'total_r': 22.76}","{'trades': 15, 'wins': 7, 'wr': 46.7, 'total_r': 19.54}","{'trades': 24, 'wins': 8, 'wr': 33.3, 'total_r': 14.7}"
PROVEUSDT,HID_BEAR,4.0,2.5,65,36.9,56.6,2.97,16.3,100.0,"{'trades': 26, 'wins': 10, 'wr': 38.5, 'total_r': 23.51}","{'trades': 15, 'wins': 5, 'wr': 33.3, 'total_r': 11.13}","{'trades': 24, 'wins': 9, 'wr': 37.5, 'total_r': 21.96}"
PROVEUSDT,HID_BEAR,5.0,1.5,65,27.7,38.99,1.81,27.1,100.0,"{'trades': 26, 'wins': 8, 'wr': 30.8, 'total_r': 20.34}","{'trades': 15, 'wins': 5, 'wr': 33.3, 'total_r': 14.38}","{'trades': 24, 'wins': 5, 'wr': 20.8, 'total_r': 4.27}"
PROVEUSDT,HID_BEAR,5.0,2.0,65,30.8,54.49,2.47,17.0,100.0,"{'trades': 26, 'wins': 9, 'wr': 34.6, 'total_r': 27.26}","{'trades': 15, 'wins': 5, 'wr': 33.3, 'total_r': 15.54}","{'trades': 24, 'wins': 6, 'wr': 25.0, 'total_r': 11.7}"
RECALLUSDT,HID_BEAR,3.0,2.0,31,38.7,16.69,1.55,28.1,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 1.31}","{'trades': 14, 'wins': 5, 'wr': 35.7, 'total_r': 5.65}","{'trades': 6, 'wins': 4, 'wr': 66.7, 'total_r': 9.73}"
RECALLUSDT,HID_BEAR,3.0,2.5,31,41.9,21.35,1.97,18.9,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 1.85}","{'trades': 14, 'wins': 6, 'wr': 42.9, 'total_r': 9.72}","{'trades': 6, 'wins': 4, 'wr': 66.7, 'total_r': 9.79}"
RECALLUSDT,HID_BEAR,4.0,2.0,31,32.3,18.69,1.44,21.9,100.0,"{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 4.31}","{'trades': 14, 'wins': 4, 'wr': 28.6, 'total_r': 5.65}","{'trades': 6, 'wins': 3, 'wr': 50.0, 'total_r': 8.73}"
PUMPFUNUSDT,REG_BEAR,4.0,0.8,40,35.0,27.53,1.82,27.3,100.0,"{'trades': 11, 'wins': 5, 'wr': 45.5, 'total_r': 13.54}","{'trades': 16, 'wins': 6, 'wr': 37.5, 'total_r': 13.2}","{'trades': 13, 'wins': 3, 'wr': 23.1, 'total_r': 0.79}"
SAFEUSDT,REG_BEAR,3.0,2.0,45,42.2,29.48,2.25,22.1,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 7.87}","{'trades': 23, 'wins': 10, 'wr': 43.5, 'total_r': 16.31}","{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 5.31}"
SLPUSDT,REG_BEAR,3.0,2.0,43,37.2,19.84,1.58,26.6,100.0,"{'trades': 10, 'wins': 3, 'wr': 30.0, 'total_r': 2.57}","{'trades': 17, 'wins': 7, 'wr': 41.2, 'total_r': 10.16}","{'trades': 16, 'wins': 6, 'wr': 37.5, 'total_r': 7.1}"
SLPUSDT,REG_BEAR,3.0,2.5,43,41.9,28.77,2.25,18.2,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 6.65}","{'trades': 17, 'wins': 8, 'wr': 47.1, 'total_r': 14.33}","{'trades': 16, 'wins': 6, 'wr': 37.5, 'total_r': 7.78}"
SLPUSDT,REG_BEAR,4.0,1.5,43,32.6,25.12,1.65,25.2,100.0,"{'trades': 10, 'wins': 3, 'wr': 30.0, 'total_r': 5.43}","{'trades': 17, 'wins': 6, 'wr': 35.3, 'total_r': 11.89}","{'trades': 16, 'wins': 5, 'wr': 31.2, 'total_r': 7.81}"
SLPUSDT,REG_BEAR,4.0,2.0,43,37.2,35.84,2.28,14.7,100.0,"{'trades': 10, 'wins': 3, 'wr': 30.0, 'total_r': 5.57}","{'trades': 17, 'wins': 7, 'wr': 41.2, 'total_r': 17.17}","{'trades': 16, 'wins': 6, 'wr': 37.5, 'total_r': 13.11}"
SLPUSDT,REG_BEAR,5.0,1.5,43,32.6,39.12,2.14,16.2,100.0,"{'trades': 10, 'wins': 3, 'wr': 30.0, 'total_r': 8.43}","{'trades': 17, 'wins': 6, 'wr': 35.3, 'total_r': 17.89}","{'trades': 16, 'wins': 5, 'wr': 31.2, 'total_r': 12.81}"
SLPUSDT,REG_BEAR,6.0,1.5,43,32.6,53.12,2.48,11.9,100.0,"{'trades': 10, 'wins': 3, 'wr': 30.0, 'total_r': 11.43}","{'trades': 17, 'wins': 6, 'wr': 35.3, 'total_r': 23.89}","{'trades': 16, 'wins': 5, 'wr': 31.2, 'total_r': 17.81}"
SOPHUSDT,REG_BEAR,3.0,1.5,51,45.1,38.81,2.74,24.8,100.0,"{'trades': 13, 'wins': 7, 'wr': 53.8, 'total_r': 14.71}","{'trades': 14, 'wins': 4, 'wr': 28.6, 'total_r': 1.59}","{'trades': 24, 'wins': 12, 'wr': 50.0, 'total_r': 22.51}"
SOPHUSDT,REG_BEAR,4.0,0.8,51,33.3,28.52,1.69,27.2,100.0,"{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 16.01}","{'trades': 14, 'wins': 4, 'wr': 28.6, 'total_r': 4.3}","{'trades': 24, 'wins': 7, 'wr': 29.2, 'total_r': 8.2}"
SOPHUSDT,REG_BEAR,4.0,1.0,51,35.3,34.71,2.03,25.1,100.0,"{'trades': 13, 'wins': 6, 'wr': 46.2, 'total_r': 16.31}","{'trades': 14, 'wins': 4, 'wr': 28.6, 'total_r': 4.64}","{'trades': 24, 'wins': 8, 'wr': 33.3, 'total_r': 13.76}"
SQDUSDT,HID_BEAR,3.0,1.5,83,36.1,34.24,1.96,28.4,100.0,"{'trades': 23, 'wins': 6, 'wr': 26.1, 'total_r': 0.01}","{'trades': 36, 'wins': 14, 'wr': 38.9, 'total_r': 18.21}","{'trades': 24, 'wins': 10, 'wr': 41.7, 'total_r': 16.02}"
SQDUSDT,HID_BEAR,3.0,2.5,83,39.8,49.25,2.79,27.3,100.0,"{'trades': 23, 'wins': 10, 'wr': 43.5, 'total_r': 16.41}","{'trades': 36, 'wins': 14, 'wr': 38.9, 'total_r': 19.93}","{'trades': 24, 'wins': 9, 'wr': 37.5, 'total_r': 12.91}"
SQDUSDT,HID_BEAR,4.0,0.8,83,30.1,35.44,1.7,28.2,100.0,"{'trades': 23, 'wins': 7, 'wr': 30.4, 'total_r': 10.14}","{'trades': 36, 'wins': 11, 'wr': 30.6, 'total_r': 15.64}","{'trades': 24, 'wins': 7, 'wr': 29.2, 'total_r': 9.66}"
SPKUSDT,REG_BEAR,3.0,0.8,38,57.9,46.55,3.82,11.4,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 5.29}","{'trades': 17, 'wins': 12, 'wr': 70.6, 'total_r': 29.47}","{'trades': 11, 'wins': 6, 'wr': 54.5, 'total_r': 11.79}"
SPKUSDT,REG_BEAR,3.0,1.0,38,50.0,35.24,2.86,15.2,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 5.43}","{'trades': 17, 'wins': 11, 'wr': 64.7, 'total_r': 25.78}","{'trades': 11, 'wins': 4, 'wr': 36.4, 'total_r': 4.03}"
SPKUSDT,REG_BEAR,3.0,1.5,38,47.4,32.66,2.67,16.1,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 5.62}","{'trades': 17, 'wins': 10, 'wr': 58.8, 'total_r': 22.69}","{'trades': 11, 'wins': 4, 'wr': 36.4, 'total_r': 4.36}"
SPKUSDT,REG_BEAR,3.0,2.0,38,52.6,41.12,3.36,12.5,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 5.72}","{'trades': 17, 'wins': 10, 'wr': 58.8, 'total_r': 22.89}","{'trades': 11, 'wins': 6, 'wr': 54.5, 'total_r': 12.52}"
SPKUSDT,REG_BEAR,3.0,2.5,38,52.6,42.4,3.51,12.0,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 6.27}","{'trades': 17, 'wins': 8, 'wr': 47.1, 'total_r': 15.51}","{'trades': 11, 'wins': 8, 'wr': 72.7, 'total_r': 20.62}"
SPKUSDT,REG_BEAR,4.0,0.8,38,50.0,53.55,3.47,10.2,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 9.29}","{'trades': 17, 'wins': 11, 'wr': 64.7, 'total_r': 36.47}","{'trades': 11, 'wins': 4, 'wr': 36.4, 'total_r': 7.79}"
SPKUSDT,REG_BEAR,4.0,1.0,38,47.4,49.24,3.2,10.9,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 9.43}","{'trades': 17, 'wins': 11, 'wr': 64.7, 'total_r': 36.78}","{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 3.03}"
SPKUSDT,REG_BEAR,4.0,1.5,38,44.7,45.66,2.99,11.5,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 9.62}","{'trades': 17, 'wins': 9, 'wr': 52.9, 'total_r': 27.69}","{'trades': 11, 'wins': 4, 'wr': 36.4, 'total_r': 8.36}"
SPKUSDT,REG_BEAR,4.0,2.0,38,39.5,36.62,2.45,17.0,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 9.72}","{'trades': 17, 'wins': 5, 'wr': 29.4, 'total_r': 8.39}","{'trades': 11, 'wins': 6, 'wr': 54.5, 'total_r': 18.52}"
SPKUSDT,REG_BEAR,5.0,0.8,38,47.4,66.55,3.6,8.2,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 13.29}","{'trades': 17, 'wins': 11, 'wr': 64.7, 'total_r': 47.47}","{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 5.79}"
SPKUSDT,REG_BEAR,5.0,1.0,38,39.5,49.74,2.76,10.8,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 13.43}","{'trades': 17, 'wins': 8, 'wr': 47.1, 'total_r': 30.28}","{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 6.03}"
SPKUSDT,REG_BEAR,5.0,1.5,38,39.5,50.66,2.81,10.4,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 13.62}","{'trades': 17, 'wins': 7, 'wr': 41.2, 'total_r': 24.69}","{'trades': 11, 'wins': 4, 'wr': 36.4, 'total_r': 12.36}"
SPKUSDT,REG_BEAR,6.0,0.8,38,42.1,71.05,3.34,7.7,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 17.29}","{'trades': 17, 'wins': 9, 'wr': 52.9, 'total_r': 44.97}","{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 8.79}"
SPKUSDT,REG_BEAR,6.0,1.0,38,39.5,64.74,3.08,8.3,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 17.43}","{'trades': 17, 'wins': 8, 'wr': 47.1, 'total_r': 38.28}","{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 9.03}"
SPKUSDT,REG_BEAR,7.0,0.8,38,39.5,79.05,3.28,6.9,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 21.29}","{'trades': 17, 'wins': 8, 'wr': 47.1, 'total_r': 45.97}","{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 11.79}"
SPKUSDT,REG_BEAR,7.0,1.0,38,36.8,71.74,3.02,7.5,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 21.43}","{'trades': 17, 'wins': 7, 'wr': 41.2, 'total_r': 38.28}","{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 12.03}"
SPKUSDT,REG_BEAR,8.0,0.8,38,39.5,94.05,3.47,5.8,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 25.29}","{'trades': 17, 'wins': 8, 'wr': 47.1, 'total_r': 53.97}","{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 14.79}"
SPKUSDT,REG_BEAR,9.0,0.8,38,34.2,89.05,3.05,6.1,100.0,"{'trades': 10, 'wins': 4, 'wr': 40.0, 'total_r': 29.29}","{'trades': 17, 'wins': 6, 'wr': 35.3, 'total_r': 41.97}","{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 17.79}"
SPKUSDT,HID_BULL,3.0,1.0,42,40.5,23.6,1.86,29.3,100.0,"{'trades': 20, 'wins': 10, 'wr': 50.0, 'total_r': 19.19}","{'trades': 11, 'wins': 4, 'wr': 36.4, 'total_r': 4.11}","{'trades': 11, 'wins': 3, 'wr': 27.3, 'total_r': 0.3}"
TRXUSDT,HID_BULL,4.0,2.5,75,40.0,64.84,3.09,24.7,100.0,"{'trades': 45, 'wins': 21, 'wr': 46.7, 'total_r': 54.79}","{'trades': 12, 'wins': 4, 'wr': 33.3, 'total_r': 6.22}","{'trades': 18, 'wins': 5, 'wr': 27.8, 'total_r': 3.83}"
TRXUSDT,HID_BULL,5.0,2.5,75,36.0,77.34,3.13,23.7,100.0,"{'trades': 45, 'wins': 19, 'wr': 42.2, 'total_r': 64.29}","{'trades': 12, 'wins': 4, 'wr': 33.3, 'total_r': 10.22}","{'trades': 18, 'wins': 4, 'wr': 22.2, 'total_r': 2.83}"
USUALUSDT,REG_BEAR,3.0,0.8,48,41.7,27.46,2.0,20.4,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 6.89}","{'trades': 21, 'wins': 10, 'wr': 47.6, 'total_r': 17.09}","{'trades': 15, 'wins': 5, 'wr': 33.3, 'total_r': 3.47}"
USUALUSDT,REG_BEAR,4.0,0.8,48,37.5,37.46,2.22,17.4,100.0,"{'trades': 12, 'wins': 5, 'wr': 41.7, 'total_r': 11.89}","{'trades': 21, 'wins': 9, 'wr': 42.9, 'total_r': 22.09}","{'trades': 15, 'wins': 4, 'wr': 26.7, 'total_r': 3.47}"
